1 PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]
2 PD[X[4,2,5,1],X[8,6,1,5],X[6,3,7,4],X[2,7,3,8]]
3 PD[X[1,4,2,5],X[3,8,4,9],X[5,10,6,1],X[9,6,10,7],X[7,2,8,3]]
4 PD[X[1,4,2,5],X[7,10,8,11],X[3,9,4,8],X[9,3,10,2],X[5,12,6,1],X[11,6,12,7]]
5 PD[X[1,4,2,5],X[3,10,4,11],X[5,14,6,1],X[7,12,8,13],X[11,8,12,9],X[13,6,14,7],X[9,2,10,3]]
6 PD[X[1,4,2,5],X[9,12,10,13],X[3,11,4,10],X[11,3,12,2],X[5,16,6,1],X[7,14,8,15],X[13,8,14,9],X[15,6,16,7]]

3 PD[X[5,1,6,10],X[1,7,2,6],X[9,3,10,2],X[3,9,4,8],X[7,5,8,4]]
3m PD[X[10,5,1,6],X[6,1,7,2],X[2,9,3,10],X[8,3,9,4],X[4,7,5,8]]

6 PD[X[16,14,1,13],X[12,2,13,1],X[2,12,3,11],X[10,4,11,3],X[4,10,5,9],X[8,6,9,5],X[6,15,7,16],X[14,7,15,8]]
6m PD[X[12,15,13,0],X[0,11,1,12],X[10,1,11,2],X[2,9,3,10],X[8,3,9,4],X[4,7,5,8],X[14,6,15,5],X[6,14,7,13]]
